wave,session,task,run,subj,name,stimuli,number,letter,trial.type,cue,number.resp,letter.resp,award,switch,cue.color,target.color,target.color.orig,incentive,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,A2,e,v,Con,n,1,1,,stay,red,black,black,NoInc,4400,1,666,1,1,203495,208002,208668,40390,12,163.105,167.612,168.278,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,1B,o,c,Con,l,2,2,,switch,red,black,black,NoInc,3200,1,988,2,2,216694,221201,222189,40390,13,176.304,180.811,181.799,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,A2,e,v,Con,l,1,1,,stay,red,black,black,NoInc,2000,1,681,1,1,228693,233200,233881,40390,14,188.303,192.81,193.491,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,H5,o,c,Con,l,2,2,,stay,red,black,black,NoInc,3200,1,747,2,2,239493,243999,244746,40390,15,199.103,203.609,204.356,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,E3,o,v,InCon,l,2,1,,stay,red,black,green,Inc,2000,1,665,1,1,251492,255998,256663,40390,16,211.102,215.608,216.273,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,6I,e,v,Con,n,1,1,,switch,red,black,black,NoInc,4400,1,719,1,1,262304,266797,267516,40390,17,221.914,226.407,227.126,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,B2,e,c,InCon,l,1,2,,switch,red,black,black,NoInc,3200,1,861,2,2,275503,279996,280857,40390,18,235.113,239.606,240.467,28.408,274.404,520.412,246.019,492.014,738.023,InConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,A2,e,v,Con,l,1,1,,,red,black,black,NoInc,3200,1,702,1,1,317500,321993,322695,40390,19,277.11,281.603,282.305,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,1B,o,c,Con,l,2,2,,stay,red,black,black,NoInc,4400,1,743,2,2,329499,333992,334735,40390,20,289.109,293.602,294.345,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,I6,e,v,Con,l,1,1,,stay,red,black,black,NoInc,4400,1,948,1,1,342698,347205,348153,40390,21,302.308,306.815,307.763,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,D4,e,c,InCon,l,1,2,,stay,red,black,green,Inc,4400,1,1017,2,2,355897,360404,361421,40390,22,315.507,320.014,321.031,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,2A,e,v,Con,l,1,1,,stay,red,black,black,NoInc,2000,1,701,1,1,369096,373603,374304,40390,23,328.706,333.213,333.914,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,B1,o,c,Con,l,2,2,,stay,red,black,black,NoInc,2000,1,698,2,2,379896,384402,385100,40390,24,339.506,344.012,344.71,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,I6,e,v,Con,n,1,1,,switch,red,black,green,Inc,3200,1,699,1,1,390695,395201,395900,40390,25,350.305,354.811,355.51,28.408,274.404,520.412,246.019,492.014,738.023,ConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,H5,o,c,Con,l,2,2,,switch,red,black,black,NoInc,3200,1,671,2,2,402694,407200,407871,40390,26,362.304,366.81,367.481,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
